Player,G,PTS,TRB,AST
Keegan Murray,177,13.5,5.4,1.5
Ken Murray,181,8.1,3.3,2.7
Kris Murray,79,5.8,3.4,1.2
Lamond Murray,736,11.3,4.1,1.3
Ronald Murray,487,9.9,2.1,2.3
Tracy Murray,659,9.0,2.5,0.8
Willie Murrell,228,13.1,7.3,1.0
Dorie Murrey,357,4.7,4.4,0.6
Toure' Murry,56,2.6,0.8,0.9
Džanan Musa,49,4.3,1.9,0.9
Mike Muscala,548,5.9,3.1,0.8
Angelo Musi,161,8.4,-,0.7
Jerrod Mustaf,179,4.0,2.5,0.6
Dikembe Mutombo,1196,9.8,10.3,1.0
Martin Müürsepp,83,4.7,2.2,0.6
Pete Myers,377,4.8,1.8,2.1
Svi Mykhailiuk,296,6.2,1.7,1.3
